time;NETWORK__BUS____1_TN_Upu_value;NETWORK__BUS____2_TN_Upu_value;NETWORK__BUS____3_TN_Upu_value;NETWORK__BUS____4_TN_Upu_value;NETWORK__BUS____5_TN_Upu_value;NETWORK__BUS____6_TN_Upu_value;NETWORK__BUS____7_TN_Upu_value;NETWORK__BUS____8_TN_Upu_value;NETWORK__BUS____9_TN_Upu_value;NETWORK__BUS___10_TN_Upu_value;NETWORK__BUS___11_TN_Upu_value;NETWORK__BUS___12_TN_Upu_value;NETWORK__BUS___13_TN_Upu_value;NETWORK__BUS___14_TN_Upu_value;GEN____1_SM_generator_omegaPu;GEN____1_SM_generator_PGen;GEN____1_SM_generator_QGen;GEN____1_SM_generator_UStatorPu;GEN____1_SM_voltageRegulator_EfdPu;GEN____2_SM_generator_omegaPu;GEN____2_SM_generator_PGen;GEN____2_SM_generator_QGen;GEN____2_SM_generator_UStatorPu;GEN____2_SM_voltageRegulator_EfdPu;GEN____3_SM_generator_omegaPu;GEN____3_SM_generator_PGen;GEN____3_SM_generator_QGen;GEN____3_SM_generator_UStatorPu;GEN____3_SM_voltageRegulator_EfdPu;GEN____6_SM_generator_omegaPu;GEN____6_SM_generator_PGen;GEN____6_SM_generator_QGen;GEN____6_SM_generator_UStatorPu;GEN____6_SM_voltageRegulator_EfdPu;GEN____8_SM_generator_omegaPu;GEN____8_SM_generator_PGen;GEN____8_SM_generator_QGen;GEN____8_SM_generator_UStatorPu;GEN____8_SM_voltageRegulator_EfdPu;_LOAD___2_EC_load_PPu;_LOAD___2_EC_load_QPu;_LOAD___3_EC_P;_LOAD___3_EC_Q;_LOAD___3_EC_DeltaPc_value;_LOAD___3_EC_DeltaQc_value;_LOAD___6_EC_P;_LOAD___6_EC_Q;_LOAD___6_EC_DeltaPc_value;_LOAD___6_EC_DeltaQc_value;_LOAD___9_EC_P;_LOAD___9_EC_Q;_LOAD___9_EC_DeltaPc_value;_LOAD___9_EC_DeltaQc_value;
0.000000;1.060010;1.045021;1.009998;1.017700;1.019553;1.070151;1.061529;1.089925;1.055982;1.051052;1.057014;1.055335;1.050526;1.035657;1.000000;232.378758;-16.579212;1.058873;1.112732;1.000000;40.082580;43.556192;1.048748;1.149144;1.000000;-0.078019;25.076478;1.011503;1.053801;1.000000;0.003527;12.805510;1.070151;1.184573;1.000000;-0.005749;17.570225;1.096374;1.194235;0.216984;0.126985;0.941998;0.189999;0.000000;0.000000;0.111985;0.074981;0.000000;0.000000;0.295013;0.166015;0.000000;0.000000;
0.000001;1.060010;1.045022;1.009998;1.017700;1.019553;1.070151;1.061529;1.089925;1.055982;1.051052;1.057015;1.055335;1.050526;1.035657;1.000000;232.378754;-16.579227;1.058873;1.112732;1.000000;40.082586;43.556176;1.048748;1.149144;1.000000;-0.078026;25.076467;1.011503;1.053801;1.000000;0.003543;12.805562;1.070151;1.184571;1.000000;-0.005751;17.570215;1.096374;1.194235;0.216984;0.126985;0.941998;0.189999;0.000000;0.000000;0.111985;0.074981;0.000000;0.000000;0.295013;0.166015;0.000000;0.000000;
0.000002;1.060010;1.045022;1.009998;1.017700;1.019553;1.070151;1.061529;1.089925;1.055982;1.051052;1.057015;1.055335;1.050526;1.035657;1.000000;232.378754;-16.579227;1.058873;1.112732;1.000000;40.082586;43.556176;1.048748;1.149144;1.000000;-0.078026;25.076467;1.011503;1.053801;1.000000;0.003543;12.805562;1.070151;1.184571;1.000000;-0.005751;17.570215;1.096374;1.194235;0.216984;0.126985;0.941998;0.189999;0.000000;0.000000;0.111985;0.074981;0.000000;0.000000;0.295013;0.166015;0.000000;0.000000;
0.000004;1.060010;1.045022;1.009998;1.017700;1.019553;1.070151;1.061529;1.089925;1.055982;1.051052;1.057014;1.055335;1.050526;1.035657;1.000000;232.378754;-16.579226;1.058873;1.112732;1.000000;40.082585;43.556177;1.048748;1.149144;1.000000;-0.078025;25.076468;1.011503;1.053801;1.000000;0.003542;12.805558;1.070151;1.184571;1.000000;-0.005751;17.570216;1.096374;1.194235;0.216984;0.126985;0.941998;0.189999;0.000000;0.000000;0.111985;0.074981;0.000000;0.000000;0.295013;0.166015;0.000000;0.000000;
0.000008;1.060010;1.045022;1.009998;1.017700;1.019553;1.070151;1.061529;1.089925;1.055982;1.051052;1.057015;1.055335;1.050526;1.035657;1.000000;232.378755;-16.579227;1.058873;1.112732;1.000000;40.082585;43.556177;1.048748;1.149144;1.000000;-0.078025;25.076467;1.011503;1.053801;1.000000;0.003543;12.805560;1.070151;1.184571;1.000000;-0.005751;17.570215;1.096374;1.194235;0.216984;0.126985;0.941998;0.189999;0.000000;0.000000;0.111985;0.074981;0.000000;0.000000;0.295013;0.166015;0.000000;0.000000;
0.000016;1.060010;1.045022;1.009998;1.017700;1.019553;1.070151;1.061529;1.089925;1.055982;1.051052;1.057014;1.055335;1.050526;1.035657;1.000000;232.378756;-16.579227;1.058873;1.112732;1.000000;40.082582;43.556179;1.048748;1.149144;1.000000;-0.078024;25.076467;1.011503;1.053801;1.000000;0.003542;12.805557;1.070151;1.184571;1.000000;-0.005751;17.570216;1.096374;1.194235;0.216984;0.126985;0.941998;0.189999;0.000000;0.000000;0.111985;0.074981;0.000000;0.000000;0.295013;0.166015;0.000000;0.000000;
0.000032;1.060010;1.045022;1.009998;1.017700;1.019553;1.070151;1.061529;1.089925;1.055982;1.051052;1.057014;1.055335;1.050526;1.035657;1.000000;232.378757;-16.579226;1.058873;1.112732;1.000000;40.082578;43.556181;1.048748;1.149144;1.000000;-0.078021;25.076467;1.011503;1.053801;1.000000;0.003541;12.805552;1.070151;1.184571;1.000000;-0.005750;17.570217;1.096374;1.194235;0.216984;0.126985;0.941998;0.189999;0.000000;0.000000;0.111985;0.074981;0.000000;0.000000;0.295013;0.166015;0.000000;0.000000;
0.000064;1.060010;1.045022;1.009998;1.017700;1.019553;1.070151;1.061529;1.089925;1.055982;1.051052;1.057014;1.055335;1.050526;1.035657;1.000000;232.378761;-16.579224;1.058873;1.112732;1.000000;40.082569;43.556187;1.048748;1.149144;1.000000;-0.078016;25.076468;1.011503;1.053801;1.000000;0.003539;12.805541;1.070151;1.184572;1.000000;-0.005750;17.570219;1.096374;1.194235;0.216984;0.126985;0.941998;0.189999;0.000000;0.000000;0.111985;0.074981;0.000000;0.000000;0.295013;0.166015;0.000000;0.000000;
0.000128;1.060010;1.045022;1.009998;1.017700;1.019553;1.070151;1.061529;1.089925;1.055982;1.051052;1.057014;1.055335;1.050526;1.035657;1.000000;232.378769;-16.579220;1.058873;1.112732;1.000000;40.082551;43.556198;1.048748;1.149144;1.000000;-0.078006;25.076469;1.011503;1.053801;1.000000;0.003534;12.805519;1.070151;1.184572;1.000000;-0.005749;17.570222;1.096374;1.194235;0.216984;0.126985;0.941998;0.189999;0.000000;0.000000;0.111985;0.074981;0.000000;0.000000;0.295013;0.166015;0.000000;0.000000;
0.000256;1.060010;1.045021;1.009998;1.017700;1.019553;1.070151;1.061529;1.089925;1.055982;1.051052;1.057014;1.055335;1.050526;1.035657;1.000000;232.378783;-16.579213;1.058873;1.112732;1.000000;40.082516;43.556221;1.048748;1.149144;1.000000;-0.077986;25.076471;1.011503;1.053801;1.000000;0.003525;12.805476;1.070151;1.184574;1.000000;-0.005747;17.570229;1.096374;1.194236;0.216984;0.126985;0.941998;0.189999;0.000000;0.000000;0.111985;0.074981;0.000000;0.000000;0.295013;0.166015;0.000000;0.000000;
